iq,prev_sem_result,cgpa,academic_performance,internship_experience,extra_curricular_score,communication_skills,projects_completed,cgpa_bucket,has_internship,academic_score,skill_score
107,6.61,6.28,8,No,8,8,4,medium,0,7.444,20
97,5.52,5.37,8,No,7,8,0,low,0,7.007999999999999,15
109,5.36,5.83,9,No,3,1,1,low,0,7.544,5
122,5.47,5.75,6,Yes,1,6,1,low,1,5.788,8
96,7.91,7.69,7,No,8,10,2,high,0,7.364000000000001,20
96,5.26,5.32,7,No,5,8,0,low,0,6.304,13
123,6.68,6.58,5,No,7,8,2,medium,0,5.672000000000001,17
111,8.77,8.76,7,No,3,1,2,high,0,7.708,6
92,6.47,6.33,9,No,7,8,5,medium,0,7.9879999999999995,20
108,8.82,8.6,4,No,5,9,1,high,0,5.928000000000001,15
93,8.73,8.9,2,Yes,5,6,0,high,1,4.692,11
93,6.23,6.51,8,No,5,7,4,medium,0,7.292,16
103,8.64,9.01,7,Yes,8,6,1,high,1,7.656000000000001,15
71,8.74,8.4,6,No,0,5,2,high,0,7.096,7
74,6.99,7.31,7,No,0,1,2,medium,0,6.996,3
91,6.05,5.8,3,No,4,2,3,low,0,4.22,9
84,7.61,7.54,6,No,0,10,0,high,0,6.644,10
104,9.61,10.01,10,Yes,9,2,4,,1,9.844,15
86,8.2,8.15,7,No,8,9,4,high,0,7.48,21
78,5.86,5.56,7,Yes,3,6,2,low,1,6.5440000000000005,11
121,8.41,8.07,5,Yes,1,3,3,high,1,6.364000000000001,7
96,7.14,7.11,3,Yes,2,3,3,medium,1,4.656,8
101,7.96,8.22,2,Yes,8,10,0,high,1,4.384,18
78,8.67,9.17,7,Yes,10,10,2,high,1,7.668,22
91,7.57,7.86,4,Yes,7,2,2,high,1,5.428000000000001,11
101,9.07,9.45,2,No,2,7,2,high,0,4.828,11
82,8.61,8.86,8,No,7,1,0,high,0,8.244,8
105,8.08,8.48,2,No,3,1,4,high,0,4.432,8
90,5.75,5.33,6,Yes,5,10,1,low,1,5.9,16
95,9.18,9.61,4,Yes,3,3,3,high,1,6.072,9
90,9.68,9.58,9,Yes,10,1,4,high,1,9.271999999999998,15
