studentid,cgpa,internships,projects,workshops/certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
1,7.5,1,1,1,65,4.4,No,No,61,79,
2,8.9,0,3,2,90,4.0,Yes,Yes,78,82,1.0
3,7.3,1,2,2,82,4.8,Yes,No,79,80,
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,1.0
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,1.0
6,7.0,0,2,2,71,4.2,Yes,No,55,66,
7,7.7,1,1,1,76,4.0,No,No,62,65,
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,
9,6.5,1,1,0,84,3.9,No,Yes,75,71,
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,1.0
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,1.0
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,1.0
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,1.0
14,7.7,1,1,1,74,4.6,No,Yes,63,73,
15,7.5,1,1,1,66,4.1,No,No,61,66,
16,7.4,0,2,1,78,4.4,No,No,63,66,
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,1.0
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,1.0
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,1.0
20,7.4,1,2,0,70,4.4,No,Yes,58,63,
21,7.6,2,1,0,84,4.4,No,Yes,77,75,1.0
22,7.4,1,2,1,72,3.5,No,Yes,82,69,1.0
23,7.7,0,1,0,77,3.4,No,Yes,55,72,1.0
24,7.4,1,1,0,60,3.8,No,No,55,71,
25,7.4,1,2,1,90,4.3,No,Yes,56,69,
26,6.7,1,1,1,70,4.0,No,No,68,57,
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,
29,7.5,1,2,1,84,4.4,No,No,66,73,
30,7.0,0,1,1,63,3.9,No,Yes,60,61,
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,1.0
32,7.4,1,2,1,76,4.7,No,Yes,66,69,
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,1.0
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,1.0
35,6.9,0,1,0,70,3.9,No,Yes,79,68,1.0
36,7.8,1,1,1,67,4.3,No,No,65,73,
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,1.0
38,8.2,1,2,2,77,4.2,No,Yes,72,72,1.0
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,1.0
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,1.0
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,1.0
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,1.0
43,6.7,0,1,1,72,4.4,No,No,55,60,
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,1.0
