Category,resume_skills
Data Science,"['machine learning', 'numpy', 'sql', 'tableau', 'git', 'pandas', 'css', 'java', 'python', 'html', 'deep learning', 'scikit', 'computer vision', 'docker', 'javascript']"
Data Science,"['machine learning', 'keras', 'git', 'sklearn', 'python', 'aws']"
Data Science,"['machine learning', 'sql', 'linux', 'git', 'java', 'python', 'deep learning', 'data analysis', 'excel']"
Data Science,"['machine learning', 'sql', 'tableau', 'git', 'python', 'deep learning', 'nlp']"
Data Science,"['data analysis', 'java', 'python']"
Data Science,"['machine learning', 'excel', 'python', 'html']"
Data Science,"['machine learning', 'excel', 'python', 'tableau']"
Data Science,"['machine learning', 'keras', 'numpy', 'sql', 'linux', 'pandas', 'sklearn', 'java', 'python', 'deep learning', 'scikit', 'tensorflow', 'nlp']"
Data Science,"['machine learning', 'numpy', 'sql', 'pandas', 'css', 'python', 'html', 'deep learning', 'scikit', 'nlp']"
Data Science,"['machine learning', 'hadoop', 'tableau', 'python', 'data analysis', 'aws', 'nlp', 'spark']"
Data Science,"['machine learning', 'numpy', 'sql', 'tableau', 'git', 'pandas', 'css', 'java', 'python', 'html', 'deep learning', 'scikit', 'computer vision', 'docker', 'javascript']"
Data Science,"['machine learning', 'keras', 'git', 'sklearn', 'python', 'aws']"
Data Science,"['machine learning', 'sql', 'linux', 'git', 'java', 'python', 'deep learning', 'data analysis', 'excel']"
Data Science,"['machine learning', 'sql', 'tableau', 'git', 'python', 'deep learning', 'nlp']"
Data Science,"['data analysis', 'java', 'python']"
Data Science,"['machine learning', 'excel', 'python', 'html']"
Data Science,"['machine learning', 'excel', 'python', 'tableau']"
Data Science,"['machine learning', 'keras', 'numpy', 'sql', 'linux', 'pandas', 'sklearn', 'java', 'python', 'deep learning', 'scikit', 'tensorflow', 'nlp']"
Data Science,"['machine learning', 'numpy', 'sql', 'pandas', 'css', 'python', 'html', 'deep learning', 'scikit', 'nlp']"
Data Science,"['machine learning', 'hadoop', 'tableau', 'python', 'data analysis', 'aws', 'nlp', 'spark']"
Data Science,"['machine learning', 'numpy', 'sql', 'tableau', 'git', 'pandas', 'css', 'java', 'python', 'html', 'deep learning', 'scikit', 'computer vision', 'docker', 'javascript']"
Data Science,"['machine learning', 'keras', 'git', 'sklearn', 'python', 'aws']"
Data Science,"['machine learning', 'sql', 'linux', 'git', 'java', 'python', 'deep learning', 'data analysis', 'excel']"
Data Science,"['machine learning', 'sql', 'tableau', 'git', 'python', 'deep learning', 'nlp']"
Data Science,"['data analysis', 'java', 'python']"
Data Science,"['machine learning', 'excel', 'python', 'html']"
Data Science,"['machine learning', 'excel', 'python', 'tableau']"
Data Science,"['machine learning', 'keras', 'numpy', 'sql', 'linux', 'pandas', 'sklearn', 'java', 'python', 'deep learning', 'scikit', 'tensorflow', 'nlp']"
Data Science,"['machine learning', 'numpy', 'sql', 'pandas', 'css', 'python', 'html', 'deep learning', 'scikit', 'nlp']"
Data Science,"['machine learning', 'hadoop', 'tableau', 'python', 'data analysis', 'aws', 'nlp', 'spark']"
Data Science,"['machine learning', 'numpy', 'sql', 'tableau', 'git', 'pandas', 'css', 'java', 'python', 'html', 'deep learning', 'scikit', 'computer vision', 'docker', 'javascript']"
Data Science,"['machine learning', 'keras', 'git', 'sklearn', 'python', 'aws']"
Data Science,"['machine learning', 'sql', 'linux', 'git', 'java', 'python', 'deep learning', 'data analysis', 'excel']"
Data Science,"['machine learning', 'sql', 'tableau', 'git', 'python', 'deep learning', 'nlp']"
Data Science,"['data analysis', 'java', 'python']"
Data Science,"['machine learning', 'excel', 'python', 'html']"
Data Science,"['machine learning', 'excel', 'python', 'tableau']"
Data Science,"['machine learning', 'keras', 'numpy', 'sql', 'linux', 'pandas', 'sklearn', 'java', 'python', 'deep learning', 'scikit', 'tensorflow', 'nlp']"
Data Science,"['machine learning', 'numpy', 'sql', 'pandas', 'css', 'python', 'html', 'deep learning', 'scikit', 'nlp']"
Data Science,"['machine learning', 'hadoop', 'tableau', 'python', 'data analysis', 'aws', 'nlp', 'spark']"
HR,[]
HR,['excel']
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,['java']
HR,[]
HR,['excel']
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,['java']
HR,[]
HR,['excel']
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,['java']
HR,[]
HR,['excel']
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,[]
HR,['java']
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,['aws']
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,['aws']
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Advocate,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,[]
Arts,['excel']
Arts,[]
Arts,[]
Arts,[]
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Web Designing,"['git', 'css', 'java', 'html', 'javascript']"
Web Designing,[]
Web Designing,"['sql', 'css', 'java', 'html', 'javascript']"
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,"['excel', 'git']"
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Mechanical Engineer,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Sales,[]
Sales,[]
Sales,['excel']
Sales,['sql']
Sales,[]
Health and fitness,[]
Health and fitness,[]
Health and fitness,[]
